"စကားဝါ",96.214001,16.819443,"42"
"စက်မှု(၁)",96.157256,16.827587,"14,38"
"စက်မှု(၁)/မြန်မာပလာဇာ",96.154484,16.827811,"28,36,38"
"စက်မှုဇုံ",96.082293,16.856842,"16,20,23"
"စက်မှုဇုံ(၂)",96.229738,16.842231,"7,60"
"စက်မှုဇုံဈေး",96.232545,16.838801,"2,60"
"စက်ရုံရှေ့",96.214762,16.817646,"42"
"စခန်းကြီး",96.226966,17.122499,"45"
"စစ်ကြောရေး/လျှော်ရွေး",96.110927,16.848166,"19,20,23,40"
"စစ်စည်းတော",96.283529,16.724084,"33"
"စစ်တပ်",96.097276,16.957841,"39,42,44"
"စစ်တောင်းလမ်း",96.1962,16.873116,"12,26,29,30"
"စစ်တောင်းလမ်းထိပ်",96.234262,16.831941,"2,60"
"စစ်ပင်ကွင်း",96.317475,16.748537,"34"
"စည်ပင်",96.235249,16.930705,"27"
"စည်ပင်လမ်းခွဲ",96.180661,17.320119,"45"
"စနေမ",96.041576,16.872213,"22,61"
"စန်းသော်တာ",96.226661,17.104422,"45"
"စမ်းချောင်းပေါက်",96.092513,17.095716,"55"
"စလင်းကွင်း",96.125934,16.812793,"11,22"
"စာတိုက်",96.174755,16.784522,"5,6,8,10,11,14,19,20,23,24,26,28,30,34,35,36,37,40,41"
"စာတိုက်ကြီး",96.162463,16.769155,"58"
"စာဘူးတောင်း",96.227009,17.207336,"45"
"စိတ်ကျန်းမာရေးဆေးရုံ",96.25701,16.962221,"27"
"စိန်ဂျွန်း",96.144171,16.781605,"21,35,37,39"
"စိန်နဂါး",96.207054,17.09145,"44"
"စိန်ပန်း",96.196543,16.900465,"10,28"
"စိန်ပေါ(လ်)",96.167256,16.77744,"7"
"စိမ်းလဲ့ဦး",96.159289,17.060682,"44"
"စိုက်ပျိုးရေး",96.133288,16.817307,"21,33,35,37,39,61"
"စိုက်ပျိုးရေးကွေ့",96.514971,16.760701,"34"
"စိုက်ရှေ့",96.172936,16.875272,"27"
"စီပီလိုက်",96.133307,17.020738,"35,37,41,44"
"စီမံကိန်း",96.19854,16.84756,"6,14,26,27,42"
"စီးပွားရေးတက္ကသိုလ်",96.267761,16.929063,"1,46"
"စုပေါင်း",96.198689,16.818837,"25,59"
"စုပေါင်းရုံး",96.019127,17.105724,"55"
"စော်ဘွား",96.294129,16.71126,"33"
"စော်ဘွားကြီးကုန်းလမ်းဆုံ",96.11963,16.892992,"11,35,37,41"
"စံပယ်",96.17086,16.914375,"15"
"စံပြ",96.144935,16.778647,"21,35,37,39,45,58"
"စံပြဈေး/ငမိုးရိပ်",96.204405,16.841871,"1,3,6,7,24,42,60"
"စံပြဈေးကွေ့",96.207317,16.83951,"25,42,59"
"စံရိပ်ငြိမ်",96.129445,16.830791,"21,39,41"
"စွမ်းအင်",96.202573,16.880857,"2,12,24,25,26,29,30"
"ဆက်သွယ်ရေး",96.190127,16.870036,"12,14,26,29,30,55"
"ဆင်နှစ်ကောင်",96.075972,16.981648,"40,42"
"ဆင်ဖုံကွေ့",96.190728,16.934195,"17,19"
"ဆင်မင်း",96.126548,16.970032,"35,37,41,44"
"ဆင်မင်းဈေး",96.123911,16.789104,"14,19,22,23,30,40,41,59"
"ဆင်မလိုက်",96.121852,16.81971,"14,19,20,23,30,40,41"
"ဆင်ရေတွင်း",96.128565,16.833769,"21,39,41"
"ဆည်မြောင်း",96.262463,16.922925,"1,16,17,19,31,32,33,34,46"
"ဆည်မြောင်းရုံး",96.226326,17.111672,"45"
"ဆဒုံဒူးဝါး",96.223108,16.891083,"24"
"ဆန္ဒတူ",96.389379,16.758358,"34"
"ဆန်စက်",96.28516,16.722851,"33,44"
"ဆပ်ပလိုင်း",96.060094,17.106442,"55"
"ဆယ့်တစ်တော",96.088436,17.09789,"55"
"ဆရာတော်ကြီး",96.094426,16.895825,"40"
"ဆိုက်ကားဂိတ်",96.123331,16.831664,"11,22,54"
